"path","kind","bytes","sha256","lines","scope"
"C:\Users\Junior\.bun\install\cache\agent-browser@0.33.1@@@1\skill-data\core\SKILL.md","SKILL.md","28015","B8DB03838026EA61C167828342FDB89276039D1EA15AC04C11DFB507A23C5B34","504","vendor-source"
"C:\Users\Junior\.bun\install\cache\agent-browser@0.33.1@@@1\skill-data\derive-client\SKILL.md","SKILL.md","5379","CA31E7FD950CC4BDF65263959FDAC2A8BBAA05F1CD020947944C79BE4A3A0875","87","vendor-source"
"C:\Users\Junior\.bun\install\cache\agent-browser@0.33.1@@@1\skill-data\dogfood\SKILL.md","SKILL.md","10605","C86DB6B33C8F92E2A074D7F5B7EB9629E333D0FB287ECA4421782266B1E76257","221","vendor-source"
"C:\Users\Junior\.bun\install\cache\agent-browser@0.33.1@@@1\skill-data\electron\SKILL.md","SKILL.md","6727","D97A2BC221B5044184AD0AF51376B07BCB94F259622F2AF254FB3701E6F01861","237","vendor-source"
"C:\Users\Junior\.bun\install\cache\agent-browser@0.33.1@@@1\skill-data\slack\SKILL.md","SKILL.md","8032","16817A09C54F503C1D47B326706BDD228B80BF395B297C882C68DF7EB4B21FA9","286","vendor-source"
"C:\Users\Junior\.bun\install\cache\agent-browser@0.33.1@@@1\skill-data\vercel-sandbox\SKILL.md","SKILL.md","7722","20F4041C098154F583BF48D543B52CECAAEA0A62CBC62DC11E2B4FC5B23C0197","214","vendor-source"
"C:\Users\Junior\.bun\install\cache\agent-browser@0.33.1@@@1\skills\agent-browser\SKILL.md","SKILL.md","3364","243EEAA5E9A42BB12D94D6AF29A51B2C956546A16B1862282DB1E5BD27315F8A","52","vendor-source"
"C:\Users\Junior\.bun\install\cache\cytoscape@3.34.0@@@1\AGENTS.md","AGENTS.md","6364","86C79DF5D3A68DDF2880DC711F8764BA88716D3606DBFE297DC304E40FD390CA","70","vendor-source"
"C:\Users\Junior\.bun\install\cache\dotenv@17.4.1@@@1\skills\dotenv\SKILL.md","SKILL.md","23593","D7EFB22696219043CA81EA0F9C4A359B863CFBA71376A31D3B414AC2C37AD71D","759","vendor-source"
"C:\Users\Junior\.bun\install\cache\dotenv@17.4.1@@@1\skills\dotenvx\SKILL.md","SKILL.md","2236","BBF9474656563E01C190291BF323A4D0EA796FFF911D7164A26FD8F0673A256A","128","vendor-source"
"C:\Users\Junior\.bun\install\cache\dotenv@17.4.2@@@1\skills\dotenv\SKILL.md","SKILL.md","6744","9737515FE845DE8ABF87BBCB9E04D47F17422F3C92FCC6C913482171E50FC5F9","201","vendor-source"
"C:\Users\Junior\.bun\install\cache\dotenv@17.4.2@@@1\skills\dotenvx\SKILL.md","SKILL.md","3186","7FE24D82A32AFCF0BA9CDE91E9AF4E855C659D7813A6F0DCA155367CCBA42888","119","vendor-source"
"C:\Users\Junior\.bun\install\cache\next@16.3.0@@@1\AGENTS.md","AGENTS.md","311","344CA5127E225109EA646A07983C7DE059D4D0CE046E5A7325239F28216E10BF","8","vendor-source"
"C:\Users\Junior\.bun\install\cache\playwright-core@1.60.0@@@1\lib\tools\cli-client\skill\SKILL.md","SKILL.md","11263","75143AF12B0201983322B9DDFCA7AAEE32D4EE8E03189F8D2A23ABA1D6295C23","389","vendor-source"
"C:\Users\Junior\.bun\install\cache\playwright-core@1.60.0@@@1\lib\tools\trace\SKILL.md","SKILL.md","4712","DF85506BFA8A445C961EFA1AC244CCA733667B717711BCC99C1F93994C29D5DC","172","vendor-source"
"C:\Users\Junior\.bun\install\cache\playwright-core@1.61.1@@@1\lib\tools\cli-client\skill\SKILL.md","SKILL.md","11869","B4C81C39E39F30E4790607E57B12283878F3751DACA9C0E44F301899F2108B13","405","vendor-source"
"C:\Users\Junior\.bun\install\cache\playwright-core@1.61.1@@@1\lib\tools\trace\SKILL.md","SKILL.md","4712","DF85506BFA8A445C961EFA1AC244CCA733667B717711BCC99C1F93994C29D5DC","172","vendor-source"
"C:\Users\Junior\.bun\install\cache\playwright-core@1.62.1@@@1\lib\tools\skills\playwright-cli\SKILL.md","SKILL.md","12587","29C0B669A524D42B51934D7DB9144C1C07A566D0549AE6FB6CCD810E5A3CF61B","421","vendor-source"
